"Type","Folder","Diff","Vol","BackCalc"
"Borderline","round1122_go-306688","7.7853","23194.261","False"
"Borderline","round1123_go-test-307200","7.7853","23194.256","False"
"LargeBackcalc","round1000_clean-disc-6mm-1007616","-0.0582","500934.651","True"
"LargeBackcalc","round1001_6mm-screen-v2-1000448","-0.1039","378483.107","True"
"LargeBackcalc","round1005_agv-gate-139264","-0.0599","2086237.446","True"
"LargeBackcalc","round1006_agv-gate-0001-122880","-0.0587","1854676.742","True"
"LargeBackcalc","round1007_agv-gate-v2-122368","-0.0599","2086626.742","True"
"LargeBackcalc","round1012_gearbox-0010-443904","-0.0481","524098.827","True"
"LargeBackcalc","round1013_gearbox-0009-442880","-0.048","524035.996","True"
"LargeBackcalc","round1014_1mm-screen-v2-2102784","-0.0992","300824.04","True"
"LargeBackcalc","round1019_6mm-screen-horn-1147904","-0.0943","315638.75","True"
"LargeBackcalc","round1020_6mm-screen-halfhorn-v2-987136","-0.0967","308227.626","True"
"LargeBackcalc","round102_RING","0","127881.151","True"
"LargeBackcalc","round1034_side-plate-0001-149504","-0.0633","139009.559","True"
"LargeBackcalc","round1036_main-unit-0002-210944","-0.0028","12453107.942","True"
"LargeBackcalc","round1039_chassis-141312","-0.0573","500504.461","True"
"LargeBackcalc","round1040_6mm-sieve-disc-786432","-0.0933","318623.263","True"
"LargeBackcalc","round1041_1mm-sieve-halfhorn-0003-2357760","-0.0986","302375.731","True"
"LargeBackcalc","round1047_gearbox-0002-275456","-0.0481","519291.434","True"
"LargeBackcalc","round1048_gearbox-280064","-0.0481","519283.711","True"
"LargeBackcalc","round104_TUBE_SEAL_RING","0","138298.602","True"
"LargeBackcalc","round1050_56x35-chamfer-jig-0002-164864","-0.1314","158985.749","True"
"LargeBackcalc","round1051_56x35-chamfer-jig-188416","-0.1316","158730.527","True"
"LargeBackcalc","round1059_shaft-0001-215040","-0.2365","157446.623","True"
"LargeBackcalc","round1060_shaft-221184","-0.2365","157442.681","True"
"LargeBackcalc","round1066_main-unit-0004-148480","-0.0042","5278109.215","True"
"LargeBackcalc","round1068_main-unit-146432","-0.0042","5278109.215","True"
"LargeBackcalc","round1071_sieve-105472","-0.0804","561952.386","True"
"LargeBackcalc","round1077_vibration-motor-108544","-0.0278","1002688.179","True"
"LargeBackcalc","round1078_rocking-disc-131072","-0.0457","1728480","True"
"LargeBackcalc","round1079_sde300-body-228864","-0.023","608922.078","True"
"LargeBackcalc","round1119_shaft-248320","-0.053","304874.528","True"
"LargeBackcalc","round1121_ke-bh-058-350208","-0.1254","124256.387","True"
"LargeBackcalc","round23_KE-BH-026_AA_BP-M","-0.163","106721.941","True"
"LargeBackcalc","round54_AA200_NW50_part7","-0.0664","293937.043","True"
"LargeBackcalc","round62_aluminum_half_circle_plate","-0.0996","250934.713","True"
"LargeBackcalc","round63_irregular_rubber_half","-0.2952","187044.791","True"
"LargeBackcalc","round64_mother_mold_half","-0.1278","769931.803","True"
"LargeBackcalc","round65_aluminum_quarter_circle","-0.1","125467.357","True"
"LargeBackcalc","round979_side-plate-174592","-0.063","138336.039","True"
"LargeBackcalc","round986_gearbox-439296","-0.0475","530658.473","True"
"LargeBackcalc","round992_base-left-291840","-0.0593","125155.511","True"
"LargeBackcalc","round993_base-right-286720","-0.0593","125155.511","True"
"LargeBackcalc","round994_base-left-v2-265728","-0.0521","110272.821","True"
"LargeBackcalc","round995_base-right-v2-260096","-0.0521","110272.821","True"
"LargeBackcalc","round998_clean-disc-1mm-6637056","-0.0633","467509.944","True"
