"Folder","OldResult","NewDiff"
"round100_KE-SL-028_KMB603","FAIL","0"
"round102_RING","FAIL","0"
"round104_TUBE_SEAL_RING","FAIL","0"
"round107_GB_Washer_10","FAIL","0"
"round110_washer_1","FAIL","0"
"round112_IGUS_BUSHING","FAIL","0"
"round113_Spring_Bushing_P5000","FAIL","0"
"round115_KE-SL-036_A150-BP-M-SLEEVE","FAIL","0"
"round116_KE-SL-037_A150-BP-G-SLEEVE","FAIL","0"
"round117_KE-SL-038_KMB1201_SLEEVE","FAIL","0"
"round122_KE-SL-049_HC60C","FAIL","0"
"round123_KE-SL-050_HC60D","FAIL","0"
"round124_KE-SL-051_HC60E","FAIL","0"
"round125_KE-SL-052_HC60_motor","FAIL","0"
"round126_KE-SL-053_oilseal","FAIL","0"
"round127_KE-SL-054_MSB3600","FAIL","0"
"round129_KE-SL-057_KMB1202","FAIL","0"
"round131_IGX-spacer","FAIL","0"
"round134_KE-SL-010-ESR","FAIL","0"
"round136_EV-L200-BP-flinger","FAIL","0"
"round138_KE-SL-006-AA-BP","FAIL","0"
"round141_tube-2017","FAIL","0"
"round142_inner-tube","FAIL","0"
"round143_tube-2015","FAIL","0"
"round144_tube-2013","FAIL","0"
"round145_KMB601-oil-seal","FAIL","0"
"round146_KMB602PT-oil-seal","FAIL","0"
"round148_KE-SP-004-P1","FAIL","0"
"round149_KE-SP-004-P2","FAIL","0"
"round152_EV-S200P-BP-v3","FAIL","0"
"round154_KE-SL-013","FAIL","0"
"round156_KE-SL-011","FAIL","0"
"round157_KE-SL-004","FAIL","0"
"round158_KE-SL-052","FAIL","0"
"round159_KE-SL-001-ESA200","FAIL","0"
"round160_KMB1203","FAIL","0"
"round163_KE-SL-003-ESA300M","FAIL","0"
"round164_KE-SL-050-HC60D","FAIL","0"
"round165_KE-SL-049-HC60C","FAIL","0"
"round166_KE-SL-051-HC60E","FAIL","0"
"round167_KE-SL-002-ESA300G","FAIL","0"
"round169_EV-X200N-MP-M","FAIL","0"
"round171_KMB1203E","FAIL","0"
"round172_KE-SL-017-SD90","FAIL","0"
"round174_KE-SL-005-AA-MPG","FAIL","0"
"round177_KE-SL-007-AA-MPM","FAIL","0"
"round178_KE-SL-020-KMB2003","FAIL","0"
"round179_KE-SL-037-A150-BPG","FAIL","0"
"round180_KE-SL-036-A150-BPM","FAIL","0"
"round181_KE-SL-032-ESA200-BPG","FAIL","0"
"round182_KE-SL-034-A150-MPM","FAIL","0"
"round183_KE-SL-024-ESA200-MPG","FAIL","0"
"round184_KE-SL-012-SDE300C","FAIL","0"
"round185_KE-SL-035-A150-MPG","FAIL","0"
"round186_KE-SL-033-ESA200-MPM","FAIL","0"
"round187_KE-SL-031-QDP","FAIL","0"
"round188_KE-SL-034-ESA200-BPM","FAIL","0"
"round190_KE-SL-024-old","FAIL","0"
"round222_EV-X200N-MP-M-v2026","FAIL","0"
"round226_EV-A10-3-M","FAIL","0"
"round246_KE-SL-052-HC60-motor-sleeve","FAIL","0"
"round77_KE-BC-002_ESA300BP","FAIL","0"
"round79_KE-SL-006_AA-BP-G_sleeve","FAIL","0"
"round80_KE-SL-013_sleeve","FAIL","0"
"round81_KE-SL-018_sleeve","FAIL","0"
"round82_KE-SL-017_SD90_120","FAIL","0"
"round83_KE-SL-020_KMB2003","FAIL","0"
"round84_KE-SL-014_disc_sleeve","FAIL","0"
"round85_KE-SL-014_disc","FAIL","0"
"round86_KE-SL-015_disc_sleeve","FAIL","0"
"round88_KE-SL-019","FAIL","0"
"round90_KE-SL-022_A200","FAIL","0"
"round91_KE-SL-024_ESA200","FAIL","0"
"round92_KE-SL-031_QDP","FAIL","0"
"round93_KE-SL-032_ESA200_BP","FAIL","0"
"round94_KE-SL-033_ESA200_M","FAIL","0"
"round95_KE-BC-003_ESA300MP-G","FAIL","0"
"round96_KE-BC-004_ESA300MP-M","FAIL","0"
"round97_KE-SL-001_ESA200-G","FAIL","0"
"round98_KE-SL-026_MU100","FAIL","0"
"round99_KE-SL-027_KY","FAIL","0"
